date,state,location,fuel_type,price_cpl
2025-12-18,NT,Darwin,diesel,164.9
2025-12-18,NT,Darwin,p95,173.3
2025-12-18,NT,Darwin,ulp91,163.9
2025-12-18,QLD,Brisbane,b5,166.6
2025-12-18,QLD,Brisbane,diesel,157.9
2025-12-18,QLD,Brisbane,e10,158.7
2025-12-18,QLD,Brisbane,p95,165.8
2025-12-18,QLD,Brisbane,p98,180.1
2025-12-18,QLD,Brisbane,ulp91,157.6
2025-12-18,QLD,Cairns,diesel,163.5
2025-12-18,QLD,Cairns,p95,178.1
2025-12-18,QLD,Cairns,ulp91,163.9
2025-12-18,QLD,Gladstone,diesel,161.7
2025-12-18,QLD,Gladstone,p95,171.7
2025-12-18,QLD,Gladstone,ulp91,163.4
2025-12-18,QLD,Mackay,diesel,161.9
2025-12-18,QLD,Mackay,ulp91,164.0
2025-12-18,QLD,Townsville,diesel,162.9
2025-12-18,QLD,Townsville,p95,173.3
2025-12-18,QLD,Townsville,p98,190.4
2025-12-18,QLD,Townsville,ulp91,163.2
2025-12-18,QLD,Weipa,diesel,172.7
2025-12-18,QLD,Weipa,ulp91,186.3
2025-12-18,SA,Adelaide,diesel,159.7
2025-12-18,SA,Adelaide,e10,160.5
2025-12-18,SA,Adelaide,p95,168.2
2025-12-18,SA,Adelaide,p98,183.5
2025-12-18,SA,Adelaide,ulp91,158.7
2025-12-18,SA,Port Lincoln,diesel,166.8
2025-12-18,SA,Port Lincoln,p98,192.7
2025-12-18,SA,Port Lincoln,ulp91,165.1
2025-12-18,TAS,Devonport,diesel,165.4
2025-12-18,TAS,Devonport,p95,174.0
2025-12-18,TAS,Devonport,ulp91,163.2
2025-12-18,TAS,Hobart,diesel,164.7
2025-12-18,TAS,Hobart,p95,174.0
2025-12-18,TAS,Hobart,p98,190.0
2025-12-18,TAS,Hobart,ulp91,163.3
2025-12-18,VIC,Geelong,diesel,158.3
2025-12-18,VIC,Geelong,p95,164.9
2025-12-18,VIC,Geelong,p98,179.5
2025-12-18,VIC,Geelong,ulp91,156.8
2025-12-18,VIC,Melbourne,diesel,158.3
2025-12-18,VIC,Melbourne,e10,157.9
2025-12-18,VIC,Melbourne,p95,164.9
2025-12-18,VIC,Melbourne,p98,179.5
2025-12-18,VIC,Melbourne,ulp91,156.8
2025-12-18,WA,Broome,diesel,189.7
2025-12-18,WA,Broome,p95,212.4
2025-12-18,WA,Broome,ulp91,202.4
2025-12-18,WA,Cocos Island,diesel,209.3
2025-12-18,WA,Cocos Island,p95,375.1
2025-12-18,WA,Dampier,diesel,179.5
2025-12-18,WA,Esperance,diesel,162.4
2025-12-18,WA,King Bay,diesel,179.5
2025-12-18,WA,Perth,diesel,158.7
2025-12-18,WA,Perth,p95,170.9
2025-12-18,WA,Perth,p98,185.3
2025-12-18,WA,Perth,ulp91,158.6
2025-12-18,WA,Port Hedland,diesel,187.0
2025-12-18,WA,Port Hedland,ulp91,185.7
2025-12-19,NSW,Newcastle,diesel,157.8
2025-12-19,NSW,Sydney,diesel,157.7
2025-12-19,NSW,Sydney,e10,158.7
2025-12-19,NSW,Sydney,p95,166.7
2025-12-19,NSW,Sydney,p98,180.8
2025-12-19,NSW,Sydney,ulp91,158.2
2025-12-19,NT,Darwin,diesel,164.0
2025-12-19,NT,Darwin,p95,172.4
2025-12-19,NT,Darwin,ulp91,162.8
2025-12-19,QLD,Brisbane,b5,165.1
2025-12-19,QLD,Brisbane,diesel,156.5
2025-12-19,QLD,Brisbane,e10,157.6
2025-12-19,QLD,Brisbane,p95,164.8
2025-12-19,QLD,Brisbane,p98,179.1
2025-12-19,QLD,Brisbane,ulp91,156.5
2025-12-19,QLD,Cairns,diesel,162.0
2025-12-19,QLD,Cairns,p95,177.2
2025-12-19,QLD,Cairns,ulp91,162.8
2025-12-19,QLD,Gladstone,diesel,160.3
2025-12-19,QLD,Gladstone,p95,170.7
2025-12-19,QLD,Gladstone,ulp91,162.3
2025-12-19,QLD,Mackay,diesel,160.4
2025-12-19,QLD,Mackay,ulp91,162.9
2025-12-19,QLD,Townsville,diesel,161.5
2025-12-19,QLD,Townsville,p95,172.4
2025-12-19,QLD,Townsville,p98,189.5
2025-12-19,QLD,Townsville,ulp91,162.2
2025-12-19,QLD,Weipa,diesel,171.2
2025-12-19,QLD,Weipa,ulp91,185.2
2025-12-19,SA,Adelaide,diesel,158.8
2025-12-19,SA,Adelaide,e10,159.4
2025-12-19,SA,Adelaide,p95,167.3
2025-12-19,SA,Adelaide,p98,182.6
2025-12-19,SA,Adelaide,ulp91,157.6
2025-12-19,SA,Port Lincoln,diesel,165.9
2025-12-19,SA,Port Lincoln,p98,191.7
2025-12-19,SA,Port Lincoln,ulp91,164.0
2025-12-19,TAS,Devonport,diesel,164.5
